Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"DDX11L1"	chr1	11868	14409	+	2542	31	13	24	9	13	15
"WASH7P"	chr1	14403	29570	-	15168	117	49	66	68	61	36
"MIR6859-1"	chr1	17368	17436	-	69	1	0	0	0	2	0
"MIR1302-2HG"	chr1	29553	31109	+	1557	23	7	14	6	13	9
"MIR1302-2"	chr1	30365	30503	+	139	0	0	2	3	2	1
"FAM138A"	chr1	34553	36081	-	1529	28	8	13	12	20	7
"OR4G4P"	chr1	52472	53312	+	841	18	14	10	14	12	12
"OR4G11P"	chr1	62947	63887	+	941	21	8	6	15	13	11
"OR4F5"	chr1	69090	70008	+	919	15	12	17	20	9	6
"RP11-34P13.7"	chr1	89294	133723	-	44430	548	312	342	382	353	281
"RP11-34P13.8"	chr1	89550	91105	-	1556	17	1	5	7	5	8
"CICP27"	chr1	131024	134836	+	3813	47	19	31	16	26	23
"RP11-34P13.15"	chr1	135140	135895	-	756	1	1	3	0	1	2
"RP11-34P13.16"	chr1	137681	137965	-	285	4	1	2	5	1	2
"RP11-34P13.14"	chr1	139789	140339	-	551	18	10	15	15	20	9
"RP11-34P13.13"	chr1	141473	173862	-	32390	346	221	228	245	230	152
"RNU6-1100P"	chr1	157783	157887	-	105	0	0	2	0	2	0
"RP11-34P13.9"	chr1	160445	161525	+	1081	26	15	19	22	15	10
"ABC7-43046700E7.1"	chr1	182695	184174	+	1480	30	23	14	14	16	12
"RP11-34P13.18"	chr1	185216	195411	-	10196	96	42	67	45	50	48
"MIR6859-2"	chr1	187890	187958	-	69	0	0	0	0	1	1
"AP006222.2"	chr1	257863	297502	-	39640	650	425	429	453	482	360
"RPL23AP21"	chr1	258567	259024	-	458	14	11	7	13	9	8
"RPL23AP24"	chr1	347981	348366	-	386	15	6	9	7	5	4
"RP5-857K21.15"	chr1	357382	359681	-	2300	8	3	7	3	6	2
"RP4-669L17.2"	chr1	358856	366052	+	7197	53	36	32	29	32	27
"RP4-669L17.10"	chr1	365388	501617	-	136230	1365	974	865	938	936	677
"WBP1LP7"	chr1	439869	440232	+	364	2	1	2	1	5	2
"OR4F29"	chr1	450739	451678	-	940	11	9	14	8	7	10
"SEPT14P13"	chr1	485025	485208	-	184	3	2	2	0	1	0
"CICP7"	chr1	487100	489906	+	2807	35	19	28	23	24	7
"RP4-669L17.8"	chr1	491224	493241	-	2018	23	6	8	8	9	7
"U6"	chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr3;chr3;chr4;chr4;chr4;chr4;chr4;chr9;chr10;chr11;chr11;chr12;chr12;chr13;chr14;chr15;chr15;chr15;chr16;chr17;chr20;chr20;chr21;chr22;chr22;chrX	516375;43023548;247607125;43716466;180758721;47781378;88367792;129819776;139388276;13051341;29510634;48109352;70848135;135315417;64082428;102868420;87648488;132525808;31366287;45554589;18418525;24352056;21428878;65843483;98026041;72376703;90795;30713239;35769784;28743207;15273854;16141766;86481027	516479;43023637;247607201;43716556;180758817;47781465;88367862;129819876;139388364;13051411;29510737;48109410;70848218;135315522;64082534;102868519;87648549;132525887;31366366;45554659;18418632;24352157;21428985;65843558;98026139;72376760;90899;30713346;35769867;28743291;15273961;16141872;86481130	-;-;-;+;+;+;-;+;+;+;+;-;-;-;+;+;-;+;+;-;+;-;-;+;+;+;-;-;-;+;+;+;+	2985	84	51	45	58	33	40
"RP5-857K21.4"	chr1	585988	827796	-	241809	2986	1803	1813	1996	1912	1437
"RP5-857K21.2"	chr1	587628	594768	+	7141	79	44	47	39	45	35
"MTND1P23"	chr1	629061	629433	+	373	10	7	10	10	6	4
"MTND2P28"	chr1	629639	630683	+	1045	30	30	20	26	20	13
"MTCO1P12"	chr1	631073	632616	+	1544	38	29	26	36	25	20
"MIR6723"	chr1	632324	632413	-	90	7	6	2	5	4	4
"MTCO2P12"	chr1	632756	633438	+	683	21	15	10	30	13	14
"MTATP8P1"	chr1	633534	633741	+	208	5	3	6	6	6	2
"MTATP6P1"	chr1	633695	634376	+	682	23	18	11	15	24	5
"MTCO3P12"	chr1	634375	634922	+	548	10	10	9	13	10	7
"WBP1LP6"	chr1	674841	675265	+	425	7	3	3	6	3	1
"OR4F16"	chr1	685715	686654	-	940	12	3	14	10	6	6
"RP11-206L10.17"	chr1	720023	720206	-	184	1	0	0	0	0	1
"CICP3"	chr1	722091	724903	+	2813	53	20	29	18	17	15
"RP11-206L10.2"	chr1	725884	778626	-	52743	636	367	346	349	403	275
"RNU6-1199P"	chr1	758232	758336	-	105	2	0	0	0	1	0
"RP11-206L10.4"	chr1	760910	761989	+	1080	20	27	18	22	18	16
"RP11-206L10.9"	chr1	778769	810060	+	31292	463	270	243	370	268	218
"RP11-206L10.8"	chr1	800878	817712	-	16835	145	72	89	65	89	61
"FAM87B"	chr1	817370	819837	+	2468	4	6	3	7	1	3
"LINC01128"	chr1	825137	859446	+	34310	316	190	173	194	187	130
"LINC00115"	chr1	826205	827522	-	1318	3	2	0	0	1	0
"FAM41C"	chr1	868070	876903	-	8834	95	50	52	57	43	29
"TUBB8P11"	chr1	873291	874349	+	1059	14	6	7	8	5	4
"FAM166AP3"	chr1	874528	877234	-	2707	69	36	42	48	31	23
"RP11-54O7.16"	chr1	904833	915976	+	11144	35	17	16	17	20	11
"RP11-54O7.1"	chr1	911434	914948	+	3515	17	3	5	5	8	4
"RP11-54O7.2"	chr1	914170	914971	+	802	6	0	4	1	2	2
"RP11-54O7.3"	chr1	916864	921016	-	4153	13	4	5	2	4	4
"SAMD11"	chr1	923927	944581	+	20655	52	17	19	28	14	17
"NOC2L"	chr1	944203	959309	-	15107	69	25	35	33	29	25
"KLHL17"	chr1	960586	965715	+	5130	22	6	4	4	3	9
"PLEKHN1"	chr1	966496	975865	+	9370	62	24	26	28	30	9
"PERM1"	chr1	975203	982093	-	6891	31	15	28	15	16	17
"RP11-54O7.17"	chr1	995965	998051	-	2087	11	6	3	5	3	1
"HES4"	chr1	998961	1000172	-	1212	0	1	0	0	0	0
"ISG15"	chr1	1001137	1014541	+	13405	61	31	50	40	49	19
"RP11-54O7.10"	chr1	1008075	1008229	-	155	1	0	1	1	1	0
